lat,lon,corrected_best_combined_lcow_usd_m3,corrected_hydrogel_thickness_mm,corrected_vapor_gap_mm,corrected_fin_area_ratio,original_best_combined_lcow_usd_m3,original_design_corrected_lcow_usd_m3,regret_frac,design_changed
3.0,-54.0,3.9348032683304552,2.333066315288883,51.68490641357231,12.0,6.439758877146785,3.943776223599768,0.0022804075978924885,True
3.0,-51.0,4.147152220688441,2.5053044797134305,60.0,12.0,6.822897304253861,4.1627827089983604,0.0037689690366187498,True
3.0,12.0,4.348066434959338,1.9958837579484532,52.616168780086944,11.414163059164329,7.073965568978028,4.348066434959338,0.0,False
3.0,15.0,4.176550912312743,2.2035769586147103,51.68558921418201,12.0,6.832451981913972,4.199618282185595,0.005523066845623149,True
3.0,18.0,4.004892812043346,2.2035769586147103,51.68558921418201,12.0,6.525989465160648,4.0112487785917565,0.0015870503523332537,True
3.0,21.0,4.385366741241904,2.635078127479113,43.84424062837414,11.999999683043056,7.216284115890633,4.411658154745614,0.005995259930362054,True
3.0,24.0,4.631190342836386,2.621234734889493,59.99999888936616,11.999998919810787,7.648835469990026,4.649957300058805,0.004052296673888179,True
3.0,27.0,4.48283312823543,2.7875099158628456,60.0,12.0,7.363828450122425,4.494381208838087,0.0025760674716890433,True
3.0,30.0,4.752389274697704,2.5798530853889154,59.06942003283212,12.0,7.84093789741406,4.769538466225262,0.003608540996181119,True
3.0,33.0,4.590673383797564,2.9949195422998254,59.99999990393837,11.999999985399196,7.640249625442151,4.624731501223069,0.0074189807416294,True
3.0,36.0,4.874072268962171,4.311691415551868,59.99999977978213,11.999999997921766,8.314225117396889,4.906613345351106,0.006676363129893488,True
3.0,39.0,5.452231611314192,3.7595269930478774,59.99999989314716,11.99999999239424,9.209107537198426,5.492465373485945,0.007379320072951772,True
3.0,42.0,4.584933727157667,3.0240863099408983,60.0,12.0,7.650751692520179,4.598959698313819,0.003059143706499597,True
3.0,45.0,4.018051748358611,2.947019462998739,60.0,12.0,6.685024812131614,4.026193345668663,0.002026254966322235,True
3.0,99.0,4.46496398931967,1.9958837579484532,52.616168780086944,11.414163059164329,7.232670682032774,4.493217608742626,0.006327849337763848,True
3.0,102.0,4.443610797618055,1.9958837579484532,52.616168780086944,11.414163059164329,7.17292838664764,4.453567802540468,0.0022407464055472447,True
3.0,114.0,4.103954213101387,1.6540516596989654,58.13529384741808,10.83566748129188,6.606670959559401,4.128475223098857,0.005974971630821104,True
3.0,117.0,4.195322579291181,1.836812888833298,44.52414807154119,12.0,6.772550281126628,4.206995845733882,0.002782447886205949,True
6.0,-75.0,4.1470659413175355,2.1371283001028876,47.59146089934872,11.129749743951352,6.754884515011988,4.1645817219615235,0.004223656168443574,True
6.0,-72.0,4.425425424436564,2.458166772474952,59.069420234589124,12.0,7.266561122813686,4.434744174947375,0.002105729871608368,True
6.0,-69.0,4.301562861470871,2.5109669153492717,43.8873868632013,12.0,7.079800826849109,4.31455464563142,0.0030202474260962154,True
6.0,-66.0,4.390425789702487,2.532095896717907,60.0,12.0,7.2188036832099085,4.421164436453756,0.007001290586294568,True
6.0,-63.0,4.017189389590137,2.5967630156261436,43.784193667993634,12.0,6.597837807350597,4.033572472900722,0.004078245191286834,True
6.0,-60.0,3.7141741891236504,2.2035769586147103,51.68558921418201,12.0,6.073750736224672,3.733276823724118,0.0051431714367103165,True
6.0,-9.0,4.320786188262931,1.6540516596989654,58.13529384741808,10.83566748129188,6.959069958415571,4.320786188262931,0.0,False
6.0,-6.0,4.2302453773609505,1.9958837579484532,52.616168780086944,11.414163059164329,6.841077706437844,4.249944752731913,0.004656792600350857,True
6.0,-3.0,4.193460464881441,1.9958837579484532,52.616168780086944,11.414163059164329,6.774222680523943,4.206017178894617,0.002994356121473704,True
6.0,0.0,4.142942358721724,2.2035769586147103,51.68558921418201,12.0,6.750962540774239,4.14953018091223,0.001590131269057338,True
6.0,6.0,4.347112688322453,1.9958837579484532,52.616168780086944,11.414163059164329,7.02686995877144,4.365366158800777,0.004198987186910833,True
6.0,9.0,4.583728986987429,2.1553175412249423,43.798592616162274,12.0,7.470855137403132,4.592017609732161,0.0018082706827262003,True
6.0,12.0,4.9156966841813015,2.4822312881576973,60.0,12.0,8.075532322134247,4.923106418106353,0.0015073619063795986,True
6.0,15.0,5.177109851555573,2.4038377519353196,59.99999992003222,11.99999987994765,8.50991039287514,5.205232908011074,0.00543219233546888,True
6.0,18.0,4.991619442506963,2.7361330551372056,59.99999663993566,11.999999745218318,8.24276993397592,5.0157391354635985,0.0048320376251523925,True
6.0,21.0,4.952252102562631,2.913214041459754,59.999857058704144,11.999999855523242,8.211714322503134,4.993765601281836,0.008382751495571649,True
