lat,lon,standard_best_combined_lcow_usd_m3,standard_hydrogel_thickness_mm,simplified_best_combined_lcow_usd_m3,simplified_hydrogel_thickness_mm,lcow_reduction_frac,optimal_design_changed
-39.0,-66.0,9.087126006532545,2.5915078220606507,9.027000048960664,2.5915078220606507,0.0066166087637232465,False
-39.0,-63.0,7.678796029075849,2.652960061465027,7.627008170232284,2.652960061465027,0.006744268065914106,False
-39.0,177.0,7.308428964664143,2.2928387319819628,7.264724133268014,2.2928387319819628,0.005980058314507833,False
-36.0,-72.0,7.176924245896612,2.5953702913678525,7.129379525962557,2.5953702913678525,0.006624665149731574,False
-36.0,-69.0,8.412029477031195,2.462648037724331,8.358336898212794,2.4923522904120685,0.006382832937640923,True
-36.0,-66.0,7.4380850136293235,2.7256601744902094,7.386807767287414,2.7256601744902094,0.006893877422475066,False
-36.0,-63.0,6.912647720790402,2.5282029200688068,6.867747769751273,2.792097731549802,0.006495333315494822,True
-36.0,-60.0,6.803319621198852,2.36597120044068,6.7575828006264,2.7335604945470218,0.0067227211301285296,True
-36.0,141.0,7.105021659343434,2.4332060622951897,7.060383645293159,2.4332060622951897,0.0062826006999674115,False
-36.0,144.0,7.226098715288786,2.470753968084718,7.1801226227438235,2.470753968084718,0.006362505461998103,False
-36.0,147.0,7.310097638182381,2.4391128271986946,7.264079118079185,2.4391128271986946,0.006295199104158281,False
-36.0,150.0,6.590751438632276,2.2538149326897505,6.551899898696187,2.2538149326897505,0.005894857407056373,False
-36.0,174.0,6.634106000435491,2.2234510837185875,6.595042176921575,2.262288920230948,0.0058883327326020906,True
-33.0,-69.0,8.125077746001063,2.6923164470929155,8.069620445136767,2.6923164470929155,0.006825448641594885,False
-33.0,-66.0,6.380765195615421,2.82586500588706,6.335476986684325,2.82586500588706,0.007097614085880452,False
-33.0,-63.0,6.245537068694161,2.83345376321707,6.201113012007035,2.83345376321707,0.007112928191524558,False
3.0,-57.0,4.04575693451348,2.543502391715972,4.019394334109566,2.543502391715972,0.006516110787333826,False
3.0,-54.0,3.9348032683304552,2.333066315288883,3.9109292931273587,2.333066315288883,0.00606738725548185,False
3.0,-51.0,4.147152220688441,2.5053044797134305,4.120462578696033,2.5053044797134305,0.0064356552574232,False
3.0,12.0,4.348066434959338,1.9958837579484532,4.324937334614633,1.9958837579484532,0.005319399022687942,False
3.0,15.0,4.176550912312743,2.2035769586147103,4.152391810834186,2.2035769586147103,0.005784462343637319,False
3.0,18.0,4.004892812043346,2.2035769586147103,3.981726660381777,2.2035769586147103,0.005784462343637523,False
3.0,21.0,4.385366741241904,2.635078127479113,4.355953058427461,2.635078127479113,0.0067072344344257465,False
3.0,24.0,4.631190342836386,2.621234734889493,4.600260935263272,2.621234734889493,0.006678500619383212,False
3.0,27.0,4.48283312823543,2.7875099158628456,4.451363791711912,2.7875099158628456,0.007019966084685632,False
3.0,30.0,4.752389274697704,2.5798530853889154,4.721060229409619,2.5798530853889154,0.006592272534340655,False
3.0,33.0,4.590673383797564,2.9949195422998254,4.556541785562741,2.9949195422998254,0.007434987284281175,False
3.0,36.0,4.874072268962171,4.311691415551868,4.826222782637727,4.311691415551868,0.009817147486537494,False
3.0,39.0,5.452231611314192,3.7595269930478774,5.4038811411801175,3.7595269930478774,0.00886801471047937,False
3.0,42.0,4.584933727157667,3.0240863099408983,4.550044502456693,3.4754696114176,0.007609537406029822,True
3.0,45.0,4.018051748358611,2.947019462998739,3.988554970127442,2.9627682672840727,0.007341064794205001,True
3.0,99.0,4.46496398931967,1.9958837579484532,4.441213064238546,1.9958837579484532,0.005319399022687833,False
3.0,102.0,4.443610797618055,1.9958837579484532,4.419973458684,1.9958837579484532,0.0053193990226879165,False
