lat,lon,elev_m
-24.0,-69.0,3894.0
-24.0,-66.0,2777.0
-24.0,-63.0,245.0
-24.0,-60.0,113.0
-24.0,-57.0,63.0
-24.0,-54.0,432.0
51.0,3.0,11.0
51.0,6.0,81.0
51.0,9.0,436.0
51.0,12.0,166.0
51.0,15.0,304.0
51.0,18.0,183.0
51.0,21.0,309.0
51.0,24.0,202.0
51.0,27.0,192.0
51.0,30.0,123.0
51.0,33.0,150.0
51.0,36.0,174.0
51.0,39.0,171.0
51.0,42.0,138.0
51.0,45.0,161.0
51.0,48.0,84.0
51.0,51.0,34.0
51.0,54.0,91.0
51.0,57.0,336.0
51.0,60.0,344.0
51.0,63.0,287.0
51.0,66.0,278.0
51.0,69.0,353.0
51.0,72.0,391.0
51.0,75.0,330.0
51.0,78.0,166.0
51.0,81.0,238.0
51.0,84.0,1129.0
51.0,87.0,1677.0
51.0,90.0,1078.0
51.0,93.0,2274.0
51.0,96.0,1662.0
51.0,99.0,2153.0
51.0,102.0,1810.0
51.0,105.0,1416.0
51.0,108.0,1155.0
51.0,111.0,1073.0
51.0,114.0,907.0
51.0,117.0,1113.0
51.0,120.0,818.0
51.0,123.0,773.0
51.0,126.0,404.0
51.0,129.0,259.0
51.0,132.0,764.0
51.0,135.0,707.0
51.0,138.0,224.0
54.0,-132.0,56.0
54.0,-129.0,882.0
54.0,-126.0,805.0
54.0,-123.0,712.0
54.0,-120.0,1665.0
54.0,-117.0,964.0
54.0,-114.0,710.0
54.0,-111.0,688.0
54.0,-108.0,551.0
54.0,-105.0,603.0
54.0,-102.0,288.0
54.0,-99.0,234.0
54.0,-96.0,254.0
54.0,-93.0,257.0
54.0,-90.0,224.0
54.0,-87.0,112.0
54.0,-84.0,119.0
54.0,-78.0,151.0
54.0,-75.0,222.0
54.0,-72.0,450.0
54.0,-69.0,546.0
54.0,-66.0,519.0
54.0,-63.0,486.0
54.0,-60.0,339.0
54.0,-9.0,152.0
54.0,9.0,1.0
54.0,12.0,23.0
54.0,15.0,18.0
54.0,18.0,159.0
54.0,21.0,131.0
54.0,24.0,108.0
54.0,27.0,232.0
54.0,30.0,193.0
54.0,33.0,193.0
54.0,36.0,242.0
54.0,39.0,222.0
54.0,42.0,136.0
54.0,45.0,194.0
54.0,48.0,156.0
54.0,51.0,243.0
54.0,54.0,250.0
54.0,57.0,591.0
54.0,60.0,363.0
54.0,63.0,184.0
54.0,66.0,163.0
54.0,69.0,147.0
54.0,72.0,56.0
54.0,75.0,106.0
54.0,78.0,109.0
54.0,81.0,187.0
54.0,84.0,192.0
54.0,87.0,299.0
54.0,90.0,1041.0
54.0,93.0,475.0
54.0,96.0,1679.0
54.0,99.0,1353.0
54.0,102.0,502.0
54.0,105.0,1015.0
54.0,108.0,1316.0
54.0,111.0,1884.0
54.0,114.0,970.0
54.0,117.0,718.0
54.0,120.0,832.0
54.0,123.0,558.0
54.0,126.0,469.0
54.0,129.0,413.0
54.0,132.0,254.0
54.0,135.0,1554.0
54.0,156.0,49.0
54.0,159.0,293.0
57.0,-132.0,1433.0
57.0,-129.0,1491.0
57.0,-126.0,1681.0
57.0,-123.0,1059.0
57.0,-120.0,754.0
57.0,-117.0,534.0
57.0,-114.0,572.0
57.0,-111.0,500.0
57.0,-108.0,479.0
57.0,-105.0,536.0
57.0,-102.0,335.0
57.0,-99.0,291.0
57.0,-96.0,208.0
57.0,-93.0,48.0
57.0,-90.0,4.0
57.0,-75.0,274.0
57.0,-72.0,388.0
57.0,-69.0,244.0
57.0,-66.0,346.0
57.0,-63.0,504.0
57.0,-6.0,0.0
57.0,-3.0,658.0
57.0,9.0,0.0
57.0,15.0,201.0
57.0,24.0,19.0
57.0,27.0,98.0
57.0,30.0,118.0
57.0,33.0,255.0
57.0,36.0,145.0
57.0,39.0,132.0
57.0,42.0,144.0
57.0,45.0,153.0
57.0,48.0,135.0
57.0,51.0,94.0
57.0,54.0,78.0
57.0,57.0,226.0
57.0,60.0,376.0
57.0,63.0,129.0
57.0,66.0,57.0
57.0,69.0,84.0
57.0,72.0,100.0
57.0,75.0,90.0
57.0,78.0,135.0
57.0,81.0,111.0
57.0,84.0,120.0
57.0,87.0,110.0
57.0,90.0,238.0
57.0,93.0,181.0
57.0,96.0,259.0
57.0,99.0,408.0
57.0,102.0,478.0
57.0,105.0,427.0
57.0,108.0,366.0
57.0,111.0,862.0
57.0,114.0,1147.0
57.0,117.0,1186.0
57.0,120.0,1516.0
57.0,123.0,902.0
57.0,126.0,1060.0
57.0,129.0,1314.0
57.0,132.0,1121.0
57.0,135.0,368.0
57.0,138.0,1092.0
57.0,159.0,554.0
57.0,162.0,346.0
60.0,-162.0,3.0
60.0,-159.0,463.0
60.0,-156.0,123.0
60.0,-153.0,1023.0
60.0,-150.0,1338.0
60.0,-141.0,290.0
60.0,-138.0,1320.0
60.0,-135.0,668.0
60.0,-132.0,1125.0
60.0,-129.0,806.0
60.0,-126.0,1070.0
60.0,-123.0,368.0
60.0,-120.0,471.0
